ip,isp,org_name,country_code,country_name,region_code,region_name,city,lat,lon,connection_type,is_cellular,is_proxy,is_vpn
102.129.153.246,Cogent Communications,,US,,,Florida,Gulfport,27.74836,-82.70343,,,,
102.129.153.72,Cogent Communications,,US,,,Georgia,Marietta,33.9526,-84.54993,,,,
103.10.22.234,Kewiko LLC,,MN,,,Ulaanbaatar Hot,State Circus,47.91191,106.90719,mobile,,,
103.126.87.234,BINTANGPERKASAORION,,ID,,,Provinsi Jawa Tengah,Trucuk,-7.71833,110.65889,,,,
103.194.249.251,R P World Telecom Pvt Ltd,,IN,,,State of Himāchal Pradesh,Sarai,30.55644,77.287,,,,
103.80.210.33,Unidish LLC,,MN,,,Ulaanbaatar Hot,Ulan Bator,47.90771,106.88324,,,,
103.97.200.4,NEWRUI LIMITED,,HK,,,Sham Shui Po,Sham Shui Po,22.33023,114.15945,,,,
104.225.142.245,O.M.C. Computers & Communications Ltd.,,CA,,,Ontario,St. Lawrence,43.65002,-79.37214,,,,
104.244.72.120,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
104.244.73.205,BuyVM,,LU,,,Luxembourg,Luxembourg,49.61167,6.13,mobile,,,
104.244.74.57,BuyVM,,LU,,,Luxembourg,Luxembourg,49.61167,6.13,mobile,,,
107.182.234.233,"Hosting Services, Inc.",,US,,,Utah,Providence,41.70632,-111.81717,mobile,,,
107.189.1.178,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.11.153,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.13.42,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,,,,
107.189.14.119,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.14.76,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.28.84,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.3.110,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
107.189.31.241,FranTech Solutions,,LU,,,Mersch,Bissen,49.78733,6.0654,mobile,,,
109.70.100.19,Foundation for Applied Privacy,,AT,,,Wien,Gemeindebezirk Wieden,48.19198,16.36714,,,,
109.70.100.22,Foundation for Applied Privacy,,AT,,,Wien,Gemeindebezirk Wieden,48.19198,16.36714,,,,
109.70.100.26,Foundation for Applied Privacy,,AT,,,Wien,Gemeindebezirk Wieden,48.19198,16.36714,,,,
109.70.100.28,Foundation for Applied Privacy,,AT,,,Wien,Gemeindebezirk Wieden,48.19198,16.36714,,,,
